classifier best,opponent,wins,loss,ties
500,181,21,4,25
500,180,33,3,14
500,179,37,3,10
500,178,29,4,17
500,177,34,3,13
500,176,32,7,11
500,175,30,1,19
500,174,31,7,12
500,173,35,5,10
500,172,34,1,15
500,171,21,4,25
500,170,33,5,12
500,169,23,8,19
500,168,22,4,24
500,167,37,1,12
500,166,35,4,11
500,165,34,5,11
500,164,29,3,18
500,163,28,6,16
500,162,18,5,27
500,161,37,3,10
500,160,27,11,12
500,159,32,6,12
500,158,25,3,22
500,157,32,7,11
500,156,29,4,17
500,155,28,10,12
500,154,29,6,15
500,153,35,2,13
500,152,28,3,19
500,151,34,6,10
500,150,27,3,20
500,149,32,4,14
500,148,27,4,19
500,147,26,6,18
500,146,30,6,14
500,145,27,4,19
500,144,22,6,22
500,143,29,2,19
500,142,25,6,19
500,141,32,2,16
500,140,38,2,10
500,139,32,7,11
500,138,29,7,14
500,137,24,3,23
500,136,20,7,23
500,135,33,3,14
500,134,22,2,26
500,133,30,9,11
500,132,32,4,14
500,131,23,7,20
500,130,21,2,27
500,129,33,6,11
500,128,27,7,16
500,127,28,2,20
500,126,23,6,21
500,125,27,4,19
500,124,32,4,14
500,123,24,6,20
500,122,26,4,20
500,121,27,10,13
500,120,28,8,14
500,119,30,6,14
500,118,25,7,18
500,117,25,5,20
500,116,29,3,18
500,115,36,4,10
500,114,31,2,17
500,113,32,4,14
500,112,28,2,20
500,111,32,6,12
500,110,29,2,19
500,109,27,9,14
500,108,33,4,13
500,107,23,11,16
500,106,26,4,20
500,105,28,7,15
500,104,33,4,13
500,103,25,1,24
500,102,30,1,19
500,101,25,5,20
500,100,21,5,24
500,99,30,1,19
500,98,28,3,19
500,97,29,9,12
500,96,27,1,22
500,95,22,5,23
500,94,25,1,24
500,93,31,2,17
500,92,30,4,16
500,91,29,7,14
500,90,21,4,25
500,89,33,6,11
500,88,24,5,21
500,87,39,2,9
500,86,33,3,14
500,85,29,5,16
500,84,30,2,18
500,83,39,3,8
500,82,21,10,19
500,81,30,3,17
500,80,32,5,13
500,79,33,2,15
500,78,29,6,15
500,77,23,8,19
500,76,30,3,17
500,75,25,6,19
500,74,30,5,15
500,73,36,6,8
500,72,33,4,13
500,71,28,2,20
500,70,32,5,13
500,69,27,7,16
500,68,35,2,13
500,67,23,7,20
500,66,27,5,18
500,65,30,4,16
500,64,28,9,13
500,63,36,4,10
500,62,25,3,22
500,61,34,5,11
500,60,23,1,26
500,59,29,4,17
500,58,22,2,26
500,57,25,7,18
500,56,32,6,12
500,55,27,10,13
500,54,39,3,8
500,53,34,3,13
500,52,31,3,16
500,51,25,3,22
500,50,35,1,14
500,49,28,4,18
500,48,30,2,18
500,47,28,9,13
500,46,27,3,20
500,45,34,5,11
500,44,34,3,13
500,43,35,2,13
500,42,32,5,13
500,41,32,5,13
500,40,33,5,12
500,39,36,3,11
500,38,32,4,14
500,37,22,10,18
500,36,33,5,12
500,35,32,3,15
500,34,32,6,12
500,33,34,3,13
500,32,29,5,16
500,31,32,2,16
500,30,32,2,16
500,29,27,2,21
500,28,27,1,22
500,27,33,8,9
500,26,29,6,15
500,25,34,1,15
500,24,30,5,15
500,23,26,4,20
500,22,24,7,19
500,21,39,1,10
500,20,17,12,21
500,19,42,7,1
500,18,29,6,15
500,17,26,6,18
500,16,28,6,16
500,15,26,10,14
500,14,27,7,16
500,13,29,5,16
500,12,36,5,9
500,11,25,4,21
500,10,27,5,18
500,9,34,1,15
500,8,34,4,12
500,7,28,1,21
500,6,36,1,13
500,5,30,2,18
500,4,29,5,16
500,3,31,5,14
500,2,22,7,21
500,1,24,3,23
